dist_cumul [km];lat [g];lon [g];height (NF02) [m]
0.880452814;46.63738656;6.64773199;622.2
0.883414067;46.63739716;6.647696407;622.1
0.888107537;46.63742238;6.647647114;621.9
0.89873442;46.63748049;6.647536605;622.1
0.90776325;46.63753019;6.64744309;622.4
0.912440958;46.63756481;6.647408279;622.9
0.915732981;46.63759141;6.647389332;623.2
0.921016245;46.63763657;6.647367863;623.8
0.925819997;46.63767952;6.647361047;624.9
0.930051296;46.63771745;6.647356554;625.1
0.932078365;46.63773523;6.64735067;625.1
0.933557143;46.63774286;6.647334812;624.8
0.935279258;46.63774154;6.647312338;624.4
0.937131168;46.63772561;6.647305261;623.9
0.941183159;46.63768922;6.647308044;623
0.947542541;46.63763317;6.647324612;622.1
0.955929249;46.63756176;6.647359963;621.8
0.961420645;46.6375202;6.647398812;621.5
0.967471273;46.63748186;6.647455046;621.5
0.977079417;46.63742089;6.647544227;621.3
0.986647657;46.63736501;6.64763952;621.3
0.996147284;46.63731145;6.647736465;621.3
0.998833129;46.63729615;6.647763682;621.2
1.00136903;46.63728629;6.647793631;621.3
1.003988197;46.63728691;6.647827924;621.7
1.006051446;46.63729097;6.647854294;622
1.010443967;46.63731684;6.647897778;622.6
1.013309716;46.6373379;6.6479194;623.3
1.017738675;46.63737181;6.647949831;623.6
1.020696423;46.63739213;6.647974839;623.8
1.02152282;46.63739568;6.647984347;623.8
1.022870986;46.63739386;6.648001806;624
1.023817635;46.63738851;6.648011444;624
1.025016847;46.63737848;6.648017214;623.6
1.026491195;46.63736529;6.648015158;622.8
1.032234299;46.63731783;6.647985488;620.6
1.0433884;46.63722601;6.647926664;620
1.052829617;46.63714707;6.647881147;620
1.054805107;46.63712997;6.647874087;619.9
1.057561792;46.63710931;6.647854146;619.8
1.060834934;46.63711871;6.64781352;619.8
1.067208977;46.63714725;6.647741122;620.1
1.079873427;46.63723797;6.647640821;620.4
1.086771131;46.63728874;6.647588904;620.6
1.104870711;46.63740612;6.647424666;621
1.11727882;46.63748589;6.647311028;621.1
1.120474408;46.63750504;6.647279818;620.9
1.122684582;46.63750213;6.647251181;620.6
1.124987329;46.63748269;6.647240782;620.1
1.128009686;46.6374556;6.647243991;619.8
1.132708262;46.63741862;6.647273775;619.7
1.154057361;46.63728758;6.64747814;619.7
1.177104459;46.63713523;6.647682816;619.8
1.195035243;46.63701195;6.647834205;619.8
1.204463277;46.63694782;6.647914996;619.8
1.21252057;46.63689683;6.647989972;620
1.219759158;46.63688081;6.648081867;620.4
1.226261998;46.63687327;6.648166328;621.8
1.241624895;46.63682811;6.648356496;622.1
1.256903081;46.63676115;6.648531238;622.1
1.269298526;46.63669466;6.648661548;622.3
1.28437363;46.63659449;6.648794601;622.5
1.295618334;46.63651416;6.648884063;622.6
1.314527265;46.6363765;6.649029472;622.6
1.328565219;46.63626792;6.649123283;622.3
1.342901438;46.63614435;6.649176826;621.8
1.358491199;46.63601395;6.649251837;622.7
1.376320712;46.6358769;6.649373055;623.6
1.383522306;46.63582489;6.649429269;624.4
1.387903747;46.63579846;6.64947183;624.4
1.393737008;46.63577176;6.64953759;624.7
1.396532217;46.635792;6.649559295;627.3
1.410083834;46.63590101;6.649638675;628.8
1.420870947;46.63598972;6.649695859;630.8
1.434194457;46.63608802;6.64979564;632.2
1.43866064;46.63612383;6.649822108;633.2
1.445303114;46.63617222;6.649873134;633.8
1.450390206;46.63618282;6.649808318;634.2
1.452722837;46.63618493;6.649777922;634.3
1.456791371;46.63617992;6.649725136;634.1
1.460849857;46.63617568;6.64967234;634.8
1.46289117;46.63618015;6.649646407;634
1.46523167;46.63619706;6.649628165;634.2
1.466782107;46.636211;6.649627961;635.2
1.469553337;46.63622362;6.649659267;635.3
1.472636562;46.63623009;6.649698536;635.7
1.479211946;46.63625079;6.649779208;636
1.488990015;46.63627952;6.64990025;635.5
1.492571529;46.63629606;6.649940496;634.2
1.496723817;46.6363119;6.649989749;634.9
1.502658326;46.63630934;6.650067388;635.1
1.504469662;46.63631105;6.650090981;635.1
1.50770522;46.63633675;6.650110849;635.1
1.511510685;46.6363708;6.650105852;636.4
1.514278651;46.63638532;6.650076399;637
1.518575226;46.63638648;6.650020149;637.3
1.524345283;46.6363728;6.649947247;637.6
1.529431515;46.63636305;6.649882159;640.7
1.536712258;46.63634306;6.649791354;640.5
1.541981938;46.63632711;6.649726357;641.3
1.544589791;46.63633386;6.649693644;641.6
1.546346423;46.63634938;6.649697915;641.6
1.549067552;46.63636966;6.649717863;642.2
1.55272244;46.63638313;6.649761527;641.8
1.558246537;46.6363937;6.649832226;641.7
1.569965961;46.6364419;6.649968729;639.6
1.576500631;46.63644559;6.65005415;638.9
1.583206278;46.63645626;6.650140592;638.8
1.589015728;46.63647766;6.650210008;637.6
1.594202687;46.63648355;6.650277402;636.1
1.59836466;46.6364606;6.650320474;633.9
1.604025698;46.63641115;6.650338067;633.2
1.610339622;46.63635568;6.650355741;633.1
1.616906952;46.63631427;6.650417077;633.4
1.625420157;46.63626059;6.650496587;633.5
1.632007755;46.6362309;6.650571248;634.4
1.637917126;46.6361839;6.650607362;634.8
1.643263737;46.63615562;6.650664007;632.6
1.647164711;46.63612322;6.6506836;630.3
1.650627223;46.63609221;6.650679554;630.3
1.653824952;46.6360754;6.650713539;631.4
1.656876059;46.6360965;6.650739098;633
1.662318054;46.63614387;6.650756963;634.1
1.671204975;46.6362237;6.650762545;633.5
1.676069575;46.63625252;6.650810491;632.4
1.692563589;46.63629655;6.651016784;632.7
1.705461474;46.63631243;6.651184126;634
1.727356605;46.63631364;6.651470895;636.3
1.742509783;46.63630494;6.651668962;636.2
1.757094683;46.63632561;6.651857602;637.1
1.761481311;46.63632834;6.65191492;636.7
1.766628446;46.63628432;6.651935806;634.9
1.779734773;46.63616664;6.651945395;634.9
1.796492882;46.63601979;6.651994772;634.5
1.803835537;46.63598472;6.652076258;635.3
1.808927817;46.63594545;6.65211057;635.3
1.812739914;46.63591303;6.652126788;636.2
1.820745396;46.6358451;6.652161518;637.3
1.836526892;46.63571474;6.652243268;637.7
1.849291119;46.63560428;6.65228874;638.2
1.858304215;46.63552786;6.652328091;637.6
1.862576555;46.63549588;6.652297068;637.1
1.865381458;46.63547179;6.652286173;637
1.867208533;46.63545555;6.652289783;637.2
1.869306836;46.63544486;6.652312432;637.4
1.871365978;46.63542966;6.652327829;634.8
1.873946024;46.63540866;6.6523422;633.4
1.877528318;46.63537695;6.652350535;632.2
1.881582565;46.63534124;6.652339809;630.9
1.884636408;46.63531558;6.652325563;631.7
1.887263797;46.63529532;6.652307864;631.7
1.891236916;46.63529109;6.652256193;631.1
1.895691632;46.63530387;6.652200899;627.9
1.901676467;46.63533207;6.652134134;626
1.912104353;46.63540586;6.652049835;624.9
1.91910894;46.63544721;6.65198063;624.8
1.924038393;46.63547944;6.651936299;624.6
1.927642264;46.63550637;6.651910039;624.7
1.930261718;46.63552957;6.651904078;624.8
1.932398535;46.63554442;6.651921855;625.5
1.934776501;46.63553064;6.651945674;626
1.937639062;46.63550592;6.651956156;625.6
1.939160301;46.63549673;6.65197091;627
1.94066359;46.63550381;6.651987677;627.5
1.943597212;46.63553013;6.651985043;627.3
1.947275936;46.6355618;6.651971086;627.5
1.950283974;46.63558807;6.651961706;626.4
1.952524985;46.63559875;6.651936808;625.5
1.955487897;46.63561168;6.65190288;625.2
1.967234341;46.63570413;6.65182843;626
1.971680668;46.63574369;6.65183685;626.8
1.973859009;46.63576222;6.651827582;625.5
1.976856298;46.63577437;6.651792541;625.5
1.979867695;46.63575252;6.651769242;624
1.983497114;46.63572219;6.651751691;623.8
1.991255455;46.63571529;6.651650573;623.8
2.002439837;46.63575697;6.651517257;624
2.0080116;46.63578756;6.651459454;623.8
2.012743942;46.63579566;6.651398605;623.8
2.016445082;46.635793;6.651350284;623.8
2.022320187;46.63580643;6.651275861;623.1
2.03581426;46.63581993;6.65110022;622.8
2.041598528;46.63582483;6.651024797;622.7
2.048784664;46.63584047;6.650933472;623.2
2.052838297;46.63585952;6.650888208;623.8
2.056219781;46.63587319;6.650848646;623.8
2.061811454;46.63587578;6.650775506;624.3
2.066546471;46.63587226;6.650713702;625.2
2.073384143;46.63586389;6.650624977;625.7
2.07724796;46.63586354;6.650574373;625.4
2.081093257;46.63585024;6.650527888;624.7
2.083347756;46.63584384;6.650499865;625.2
2.085382058;46.63585513;6.650478901;626.2
2.087556116;46.63586912;6.650459009;626.1
2.089600739;46.63588606;6.650469452;626.5
2.093129574;46.63590798;6.650502871;626.9
2.097403872;46.63592768;6.650550943;627
2.100589883;46.63595488;6.650564041;627.1
2.103144099;46.63597412;6.650545766;627.8
2.105401978;46.63598948;6.650526422;629.1
2.107605328;46.63600485;6.650508204;630.1
2.110362504;46.63602892;6.650516849;630.7
2.112540928;46.63604758;6.650525574;630.7
2.114123746;46.63606069;6.650517509;630.9
2.116054963;46.63606984;6.650496007;631
2.118630841;46.6360696;6.650462271;630.5
2.123327792;46.63603146;6.650435837;629.6
2.12642986;46.63600357;6.65043512;631.7
2.129959682;46.63600557;6.65038898;633
2.133690216;46.63602154;6.65034601;633.8
2.136897179;46.63603134;6.650306504;634.3
2.142252906;46.63604404;6.65023884;634.4
2.147501867;46.63604047;6.650170288;634.1
2.150904397;46.63603474;6.650126511;634.5
2.155170391;46.63601658;6.650077291;634.9
2.157721364;46.63600399;6.650049359;634.7
2.160183529;46.63599295;6.650021404;634.1
2.1631997;46.6359834;6.649984431;634
2.165936745;46.63596618;6.649958815;633.5
2.167593448;46.63595149;6.649962404;633.6
2.170335385;46.63593853;6.649992959;632.9
2.172515964;46.63591919;6.64999774;632.6
2.173936302;46.63590677;6.649993424;631.1
2.177939942;46.63587998;6.649958382;629
2.183108064;46.63583351;6.649959062;628.4
2.185417798;46.63581501;6.649972828;628.1
2.188096576;46.63581796;6.650007649;627.2
2.190255593;46.63580416;6.650027532;626.3
2.192248288;46.63578636;6.650030604;625.3
2.194663507;46.63576469;6.650032608;624.6
2.197704546;46.63574551;6.650004209;623.2
2.204942953;46.63570011;6.64993627;623.3
2.209592296;46.63570278;6.6498755;623.4
2.214883231;46.63571316;6.64980787;623.6
2.219350086;46.63572828;6.649753666;624
2.228976396;46.63575067;6.649631877;624.3
2.23349407;46.63575646;6.649573311;624
2.237704577;46.63574834;6.649519446;624.7
2.244078044;46.63576172;6.649438276;622
2.249854792;46.63573032;6.649378005;620.7
2.259507889;46.6356555;6.649313871;621.3
2.265719117;46.63559976;6.649319185;621.2
2.27144796;46.63555667;6.649360302;620.4
2.280572889;46.63548287;6.64941256;620.8
2.294492775;46.63535993;6.649446973;620.9
2.309874043;46.63536675;6.649648183;620.9
2.325579981;46.63540376;6.649846703;621
