dist;lat_smoothed;lon_smoothed;height_smoothed
0.008601835;46.63941975666666;6.641234466;620.1999999999999
0.030724593;46.63933179;6.641504949333334;619.1333333333333
0.087630807;46.638938413333335;6.641969644333333;621.9666666666666
0.146272335;46.63855815666667;6.642464132666667;622.7333333333332
0.191245078;46.63836982;6.642931038666667;620.3
0.233515326;46.638226796666665;6.643452009000001;619.0666666666667
0.264122386;46.63822680333333;6.643822408999999;618.5
0.284869015;46.638357686666666;6.644001931999999;618.1666666666666
0.306378998;46.638527823333334;6.644181626999999;616.6999999999999
0.326685975;46.638666666666666;6.644317546;615.4666666666666
0.338792384;46.63877129666667;6.6443617433333335;615.6333333333333
0.355073019;46.63885006333334;6.644548034666666;616.8666666666667
0.400674637;46.63877319666667;6.645004298;618.5333333333334
0.424408015;46.638681643333335;6.645279323666667;619.3000000000001
0.452722646;46.63849402333333;6.645480030666666;618.4333333333334
0.479548137;46.6382843;6.645696057666666;618.1333333333333
0.51335565;46.63806331999999;6.645926494333334;618.2333333333333
0.539809203;46.63785901333333;6.6461041986666665;618.7666666666667
0.562416054;46.63771502666666;6.646341748333334;620.1333333333333
0.587539678;46.63766224;6.646622195666667;620.6333333333333
0.599495461;46.63771742;6.646758972;621.0
0.609161786;46.63780014;6.6467716286666665;621.2
0.620903436;46.63788707;6.646684125999999;621.1333333333333
0.635323826;46.63798182666667;6.6465713903333326;621.5666666666667
0.644092534;46.63805446;6.6465262733333335;622.4
0.647359963;46.63808804333333;6.646528217;622.7333333333332
0.650201376;46.638097403333326;6.646556009333334;623.0333333333334
0.653779811;46.63808626;6.646606034;624.4
0.664289323;46.63806976;6.646720995;626.0333333333333
0.672335173;46.63802396333333;6.646856443;626.7333333333333
0.69084639;46.63793819333333;6.647017033666667;627.0666666666666
0.700332824;46.63789392;6.647111782333333;627.5
0.702422977;46.63787873333334;6.647137310666667;627.2333333333333
0.704319675;46.63787369;6.647117140333333;626.1
0.711227503;46.63784048;6.647039087;622.9333333333333
0.720311273;46.63779403;6.646951105666667;621.6333333333333
0.72553778;46.63775235333333;6.646954529000001;621.4
0.736279629;46.63768219333334;6.647021165333334;621.3
0.742813752;46.63763458666667;6.647082409333334;621.5
0.74623106;46.63762741666667;6.647128064666667;621.8333333333334
0.749157924;46.637643510000004;6.647158382666667;622.2666666666667
0.753772471;46.63768642;6.647165063;623.1
0.759996813;46.63773622;6.647159459;623.7333333333332
0.762723291;46.637761536666666;6.647161149333333;624.4
0.765073369;46.63777176666667;6.647184055333333;624.9333333333334
0.770384455;46.637768746666666;6.647251205666667;625.1666666666666
0.777276243;46.63776647666666;6.647332779;626.1666666666667
0.779595801;46.637778020000006;6.647358665;626.6666666666666
0.783832829;46.63780343666667;6.647319302666666;626.9666666666667
0.790321323;46.637836326666665;6.6472588366666665;627.5666666666667
0.793831364;46.63786345666667;6.647242880333333;627.9666666666667
0.79536711;46.637869896666665;6.647259094;628.1333333333333
0.802982461;46.637832163333336;6.647347185666667;628.1999999999999
0.817239045;46.63777087;6.647482110000001;627.8000000000001
0.825449495;46.63770722333334;6.6475012263333335;624.7666666666667
0.835735952;46.63762687666667;6.647458542333332;623.0333333333333
0.841473053;46.63757266;6.647460275;622.5666666666667
0.848291797;46.63752954;6.647516391666667;622.5999999999999
0.855105723;46.63750921333334;6.647601228;622.9333333333333
0.864790466;46.637475603333336;6.647706503666666;623.0
0.872571124;46.637432090000004;6.647780246;622.8000000000001
0.875467639;46.63740449666667;6.647785711666668;622.4
0.878383312;46.637389326666664;6.647757629666667;622.1333333333333
0.880452814;46.637389973333335;6.647721068;622.1333333333333
0.888107537;46.63743334333333;6.6476267086666665;622.0333333333333
0.90776325;46.63752516333333;6.647462657999999;622.4666666666667
0.915732981;46.637597596666666;6.647388491333334;623.3000000000001
0.925819997;46.63767784666666;6.647361821333334;624.5999999999999
0.932078365;46.63773184666667;6.647347345333333;625.0
0.935279258;46.63773667;6.647317470333334;624.3666666666667
0.941183159;46.63768266666667;6.647312639;623.0
0.955929249;46.637571709999996;6.647361129;621.8000000000001
0.967471273;46.63747431666667;6.6474660283333336;621.4333333333333
0.986647657;46.63736578333334;6.647640070666667;621.3
0.998833129;46.63729796333333;6.647764592666667;621.2666666666665
1.003988197;46.63728805666667;6.6478252829999995;621.6666666666666
1.010443967;46.637315236666666;6.647890490666666;622.6333333333333
1.017738675;46.63736728;6.647948023333334;623.5666666666666
1.02152282;46.63739389;6.647986997333334;623.8666666666667
1.023817635;46.63738695000001;6.648010154666667;623.8666666666667
1.026491195;46.63735386666667;6.648005953333333;622.3333333333334
1.0433884;46.63723030333333;6.647931099666667;620.1999999999999
1.054805107;46.63712878333333;6.647869793333334;619.9
1.060834934;46.637125090000005;6.647802929333333;619.9
1.079873427;46.637224653333334;6.647656948999999;620.3666666666667
1.104870711;46.637393583333335;6.647441532666666;620.9
1.120474408;46.63749768666667;6.647280675666667;620.8666666666667
1.124987329;46.63748014;6.6472453179999995;620.1666666666666
1.132708262;46.63738726666667;6.647331968666666;619.7333333333335
1.177104459;46.63714492;6.647665053666667;619.7666666666668
1.204463277;46.636952199999996;6.647913057666666;619.8666666666667
1.219759158;46.63688363666666;6.648079389;620.7333333333333
1.241624895;46.63682084333334;6.648351354;622.0
1.269298526;46.63668343333333;6.648662462333333;622.3000000000001
1.295618334;46.63649505;6.648902711999999;622.5666666666667
1.328565219;46.636262923333334;6.649109860333333;622.2333333333333
1.358491199;46.63601173333333;6.649267239333334;622.6999999999999
1.383522306;46.635833416666664;6.649424718;624.1333333333333
